Index,Year,Weight,Place,Wrestler,School,Seed,Placement-Seed Delta,Eligibility Year,Progression Eligible,AAs
263,2003,141,7,Aaron Holker,Iowa State,5,-2,Sr,TRUE,2
264,2003,141,8,Mike Maney,Lock Haven,6,-2,Sr,TRUE,2
265,2003,149,1,Eric Larkin,Arizona State,1,0,Sr,TRUE,3
266,2003,149,2,Jared Lawrence,Minnesota,2,0,Sr,TRUE,4
267,2003,149,3,Jesse Jantzen,Harvard,3,0,Jr,TRUE,3
268,2003,149,4,Jerrod Sanders,Oklahoma State,5,1,Jr,TRUE,1
269,2003,149,5,Jake Percival,Ohio University,4,-1,So,TRUE,4
270,2003,149,6,Collin Robertson,Boise State,6,0,Sr,TRUE,1
271,2003,149,7,Jon Masa,Hofstra,7,0,So,TRUE,3
272,2003,149,8,Dustin Manotti,Cornell,10,2,Fr,TRUE,4
273,2003,157,1,Ryan Bertin,Michigan,6,5,So,TRUE,4
274,2003,157,2,Alex Tirapelle,Illinois,9,7,Fr,TRUE,2
275,2003,157,3,Shane Roller,Oklahoma State,3,0,Sr,TRUE,3
276,2003,157,4,Luke Becker,Minnesota,1,-3,Sr,TRUE,4
277,2003,157,5,Scott Owen,Northern Illinois,4,-1,Sr,TRUE,2
278,2003,157,6,Keaton Anderson,Ohio State,2,-4,Sr,TRUE,1
279,2003,157,7,Gray Maynard,Michigan State,5,-2,Sr,TRUE,3
280,2003,157,8,Derek Zinck,Lehigh,7,-1,Fr,TRUE,2
281,2003,165,1,Matt Lackey,Illinois,1,0,Sr,TRUE,3
282,2003,165,2,Troy Letters,Lehigh,2,0,So,TRUE,3
283,2003,165,3,Jacob Volkmann,Minnesota,4,1,Jr,TRUE,2
284,2003,165,4,Matt King,Edinboro,9,5,Jr,TRUE,2
285,2003,165,5,Tyrone Lewis,Oklahoma State,3,-2,Jr,TRUE,4
286,2003,165,6,John Clark,Ohio State,6,0,So,TRUE,2
287,2003,165,7,Frank Edwards,Navy,US,6,Jr,TRUE,1
288,2003,165,8,Tyron Woodley,Missouri,5,-3,So,TRUE,2
289,2003,174,1,Robbie Waller,Oklahoma,3,2,Sr,TRUE,2
290,2003,174,2,Carl Fronhofer,Pittsburgh,US,11,Sr,TRUE,1
291,2003,174,3,Chris Pendleton,Oklahoma State,2,-1,So,TRUE,3
292,2003,174,4,Curtis Owen,Arizona State,10,6,Sr,TRUE,1
293,2003,174,5,Brad Dillon,Lehigh,7,2,Jr,TRUE,2
294,2003,174,6,Shane Webster,Oregon,12,6,So,TRUE,2
295,2003,174,7,Mark Fee,Appalachian State,11,4,Sr,TRUE,2
296,2003,174,8,Ryan Lange,Purdue,4,-4,Jr,TRUE,2
297,2003,184,1,Jake Rosholt,Oklahoma State,10,9,Fr,TRUE,4
298,2003,184,2,Scott Barker,Missouri,4,2,Jr,TRUE,2
299,2003,184,3,Josh Lambrecht,Oklahoma,6,3,Jr,TRUE,3
300,2003,184,4,Jessman Smith,Iowa,1,-3,Jr,TRUE,2
301,2003,184,5,Clint Wattenberg,Cornell,3,-2,Sr,TRUE,2
302,2003,184,6,Ben Heizer,Northern Illinois,9,3,Jr,TRUE,2
303,2003,184,7,Mark Becks,Penn State,5,-2,Sr,TRUE,1
304,2003,184,8,Greg Parker,Princeton,2,-6,Sr,TRUE,2
305,2003,197,1,Damion Hahn,Minnesota,6,5,Jr,TRUE,4
306,2003,197,2,Jon Trenge,Lehigh,1,-1,Jr,TRUE,3
307,2003,197,3,Muhammed Lawal,Oklahoma State,2,-1,Sr,TRUE,1
308,2003,197,4,Sean Stender,Northern Iowa,10,6,So,TRUE,3
309,2003,197,5,Justin Ruiz,Nebraska,3,-2,Sr,TRUE,2
310,2003,197,6,Chris Skretkowicz,Hofstra,4,-2,So,TRUE,2
311,2003,197,7,Kyle Smith,Michigan,9,2,Sr,TRUE,2
312,2003,197,8,Marcio Botelho,Fresno State,US,5,So,TRUE,1
313,2003,285,1,Steve Mocco,Iowa,1,0,So,TRUE,4
314,2003,285,2,Kevin Hoy,Air Force,2,0,Sr,TRUE,2
315,2003,285,3,Boe Rushton,Boise State,5,2,Sr,TRUE,1
316,2003,285,4,Pat Cummins,Penn State,7,3,Jr,TRUE,2
317,2003,285,5,Kellan Fluckiger,Arizona State,4,-1,Sr,TRUE,1
318,2003,285,6,Tommy Rowlands,Ohio State,3,-3,Jr,TRUE,4
319,2003,285,7,Matt Feast,Pennsylvania,6,-1,So,TRUE,3
320,2003,285,8,John Testa,Clarion,9,1,Sr,TRUE,1
321,2004,125,1,Jason Powell,Nebraska,1,0,Sr,TRUE,3
322,2004,125,2,Kyle Ott,Illinois,6,4,So,TRUE,2
323,2004,125,3,Sam Hazewinkel,Oklahoma,5,2,Fr,TRUE,4
324,2004,125,4,Mario Stuart,Lehigh,US,9,Sr,TRUE,2
325,2004,125,5,Matt Valenti,Pennsylvania,3,-2,Fr,TRUE,3
326,2004,125,6,Vic Moreno,Cal Poly,10,4,So,TRUE,2
327,2004,125,7,Rob Rebmann,Drexel,US,6,Jr,TRUE,1
328,2004,125,8,Joe Dubuque,Indiana,8,0,So,TRUE,3
329,2004,133,1,Zach Roberson,Iowa State,5,4,Sr,TRUE,3
330,2004,133,2,Josh Moore,Penn State,6,4,Sr,TRUE,2
331,2004,133,3,Johnny Thompson,Oklahoma State,3,0,Sr,TRUE,4
332,2004,133,4,Darrel Vasquez,Cal Poly,7,3,Fr,TRUE,2
333,2004,133,5,Travis Lee,Cornell,1,-4,Jr,TRUE,4
334,2004,133,6,Foley Dowd,Michigan,4,-2,Sr,TRUE,1
335,2004,133,7,Mark Jayne,Illinois,2,-5,Jr,TRUE,2
336,2004,133,8,Matt Sanchez,CSU Bakersfield,8,0,Jr,TRUE,2
337,2004,141,1,Cliff Moore,Iowa,5,4,Sr,TRUE,3
338,2004,141,2,Matt Murray,Nebraska,7,5,Jr,TRUE,1
339,2004,141,3,Scott Moore,Virginia,1,-2,Sr,TRUE,2
340,2004,141,4,Jason Mester,Central Michigan,4,0,Sr,TRUE,2
341,2004,141,5,Nate Gallick,Iowa State,2,-3,So,TRUE,3
342,2004,141,6,Teyon Ware,Oklahoma,3,-3,So,TRUE,4
343,2004,141,7,Cory Cooperman,Lehigh,9,2,So,TRUE,3
